row,polling_place,poll_id,polling_place,id,precinct,Location,details
642,Plainfield-4-4 Atwood Hose Station,534,Plainfield,4,,4 Atwood Hose Station,
641,Plainville-1-Linden Street School,535,Plainville,1,,Linden Street School,
640,Plainville-2-Our Lady Of Mercy Parish Hall,536,Plainville,2,,Our Lady Of Mercy Parish Hall,
639,Plainville-3-Toffolon School,537,Plainville,3,,Toffolon School,
638,Bridgeport-130-4-Cesar Batalla School,52,Bridgeport,130,4,Cesar Batalla School,
637,Bridgeport-130-3-City Hall,53,Bridgeport,130,3,City Hall,
636,Bridgeport-126-2-Hallen School,57,Bridgeport,126,2,Hallen School,
635,Bridgeport-124-3-Dunbar School,54,Bridgeport,124,3,Dunbar School,
634,Bridgeport-128-1-Geraldine Johnson School,55,Bridgeport,128,1,Geraldine Johnson School,
633,Bridgeport-124-4-Harding High School,58,Bridgeport,124,4,Harding High School,
632,Bridgeport-124-2-John F. Kennedy Campus,59,Bridgeport,124,2,John F. Kennedy Campus,
631,Waterbury-72-1-Mount Olive A M E Zion Church,701,Waterbury,72,1,Mount Olive A M E Zion Church,
630,Hartford-22-Hartford Public Library,268,Hartford,22,,Hartford Public Library,
629,Hartford-4-Hartford Seminary,269,Hartford,4,,Hartford Seminary,
628,Hartford-12-Burns School - Gym,264,Hartford,12,,Burns School,Gym
627,Hartford-21-Dutch Point Community Room,265,Hartford,21,,Dutch Point Community Room,
626,Hartford-14-Environmental Sciences Magnet-Mary Hooker School,266,Hartford,14,,Environmental Sciences Magnet,Mary Hooker School
625,Hartford-3-Grace Lutheran Church,267,Hartford,3,,Grace Lutheran Church,
624,Hampton-1-Hampton Town Offices,260,Hampton,1,,Hampton Town Offices,
623,Hartford-8-Annie Fisher School - Gym,261,Hartford,8,,Annie Fisher School,Gym
622,Hartford-15-Batchelder School - Gym,262,Hartford,15,,Batchelder School,Gym
621,Hartford-19-Bulkeley High School,263,Hartford,19,,Bulkeley High School,
620,Trumbull-2-22-St. Joseph High School,673,Trumbull,2,22,St. Joseph High School,
619,Trumbull-4-34-Middlebrook School 134,672,Trumbull,4,34,Middlebrook School 134,
618,Trumbull-3-23-Madison School 123,671,Trumbull,3,23,Madison School 123,
617,Trumbull-1-23-Hillcrest School,670,Trumbull,1,23,Hillcrest School,
616,Vernon-2-Rockville High School,677,Vernon,2,,Rockville High School,
615,Vernon-1-North East School,676,Vernon,1,,North East School,
614,Union-1-Union Town Hall,675,Union,1,,Union Town Hall,
613,Trumbull-2-23-St. Joseph High School,674,Trumbull,2,23,St. Joseph High School,
612,Vernon-4-Vernon Center Middle School,679,Vernon,4,,Vernon Center Middle School,
611,Vernon-3-Skinner Road School,678,Vernon,3,,Skinner Road School,
610,Hartford-9-Y W C A,284,Hartford,9,,Y W C A,
609,Hartland-1-Hartland Town Hall,285,Hartland,1,,Hartland Town Hall,
608,Hartford-5-United Methodist Church,282,Hartford,5,,United Methodist Church,
607,Hartford-11-United Way Of The Capital Area,283,Hartford,11,,United Way Of The Capital Area,
606,Hartford-17-South End Senior Wellness Center,280,Hartford,17,,South End Senior Wellness Center,
605,Hartford-20-The Learning Corridor - Gym,281,Hartford,20,,The Learning Corridor,Gym
604,Ansonia-2-1-Ward 2 Ansonia Armory,4,Ansonia,2,1,Ward 2 Ansonia Armory,
603,Hebron-1-Hebron Elementary School,288,Hebron,1,,Hebron Elementary School,
602,Kent-1-Town Hall,289,Kent,1,,Town Hall,
601,West Hartford-5-Wolcott School,956,West Hartford,5,,Wolcott School,
600,West Hartford-6-Conard High School,957,West Hartford,6,,Conard High School,
599,Greenwich-4-1-New Lebanon School 4a,219,Greenwich,4,1,New Lebanon School 4a,
598,Greenwich-4-New Lebanon School,218,Greenwich,4,,New Lebanon School,
597,Windham-6-Bpo Elks 1311,766,Windham,6,,Bpo Elks 1311,
596,Winchester-1-Pearson School,761,Winchester,1,,Pearson School,
595,Wilton-1-Wilton High School - District 1,760,Wilton,1,,Wilton High School,District 1
594,West Hartford-2-Bristow Middle School,955,West Hartford,2,,Bristow Middle School,
593,Greenwich-7-Greenwich High School,211,Greenwich,7,,Greenwich High School,
592,Greenwich-10-1-Glenville School,210,Greenwich,10,1,Glenville School,
591,Greenwich-2-Greenwich Town Hall,213,Greenwich,2,,Greenwich Town Hall,
590,Greenwich-7-1-Greenwich High School 7a,212,Greenwich,7,1,Greenwich High School 7a,
589,Greenwich-1-Julian Curtiss School,215,Greenwich,1,,Julian Curtiss School,
588,Windham-5-Vfw,768,Windham,5,,Vfw,
587,Greenwich-1-1-Julian Curtiss School 1a,216,Greenwich,1,1,Julian Curtiss School 1a,
586,Milford-119-2-John F Kennedy School,358,Milford,119,2,John F Kennedy School,
585,Milford-117-Joseph A Foran High School,359,Milford,117,,Joseph A Foran High School,
584,Greenwich-7-EDR Districts 7-12 151,953,Greenwich,7,,EDR Districts 7,12 151
583,Newtown-2-central counting,807,Newtown,2,,central counting,
582,Harwinton-8-Assembly Hall,800,Harwinton,8,,Assembly Hall,
581,Harwinton-31-Assembly Hall,801,Harwinton,31,,Assembly Hall,
580,Greenwich-1-EDR Districts 1-6A 150,950,Greenwich,1,,EDR Districts 1,6A 150
579,Middletown-2-Spencer School - District 2,351,Middletown,2,,Spencer School,District 2
578,Middletown-9-Wesley School - District 9,352,Middletown,9,,Wesley School,District 9
577,Middletown-11-Woodrow Wilson Middle School - District 11,353,Middletown,11,,Woodrow Wilson Middle School,District 11
576,Middletown-12-Woodrow Wilson Middle School - District 12,354,Middletown,12,,Woodrow Wilson Middle School,District 12
575,Milford-118-5-Harborside Middle School,355,Milford,118,5,Harborside Middle School,
574,Milford-119-3-Harborside Middle School,356,Milford,119,3,Harborside Middle School,
573,Milford-118-1-John F Kennedy School,357,Milford,118,1,John F Kennedy School,
572,Stratford-100-1-Second Hill Lane 120 21,646,Stratford,100,1,Second Hill Lane 120 21,
571,Bozrah-1-Fields Memorial School,896,Bozrah,1,,Fields Memorial School,
570,Meriden-9-Maloney High School,895,Meriden,9,,Maloney High School,
569,Stratford-50-1-Nichols School 120-21,890,Stratford,50,1,Nichols School 120,
568,Ashford-1-Knowlton Memorial Hall,9,Ashford,1,,Knowlton Memorial Hall,
567,Hamden-6-Ridge Hill School,871,Hamden,6,,Ridge Hill School,
566,Hamden-5-1-Board of Education Building,870,Hamden,5,1,Board of Education Building,
565,Hamden-8-Bear Path School,873,Hamden,8,,Bear Path School,
564,Hamden-7-Dunbar Hill School,872,Hamden,7,,Dunbar Hill School,
563,Hamden-9-West Woods School,875,Hamden,9,,West Woods School,
562,Hamden-8-1-Bear Path School,874,Hamden,8,1,Bear Path School,
561,Hamden-10-1-Hamden Middle School,877,Hamden,10,1,Hamden Middle School,
560,Hamden-10-Hamden Middle School,876,Hamden,10,,Hamden Middle School,
559,Litchfield-4-Northfield Fire House,908,Litchfield,4,,Northfield Fire House,
558,East Windsor-1-Town Hall Annex,163,East Windsor,1,,Town Hall Annex,
557,East Windsor-2-Town Hall,162,East Windsor,2,,Town Hall,
556,Easton-1-Samuel Staples School,161,Easton,1,,Samuel Staples School,
555,East Lyme-1-East Lyme High School,160,East Lyme,1,,East Lyme High School,
554,Enfield-258-Enfield Street School,167,Enfield,258,,Enfield Street School,
553,Ellington-1-Ellington High School,166,Ellington,1,,Ellington High School,
552,Ellington-2-Crystal Lake School,165,Ellington,2,,Crystal Lake School,
551,East Windsor-1-2-Town Hall Annex,164,East Windsor,1,2,Town Hall Annex,
550,Enfield-359-Enrico Fermi High School,169,Enfield,359,,Enrico Fermi High School,
549,Enfield-358-Enrico Fermi High School,168,Enfield,358,,Enrico Fermi High School,
548,Warren-1-Town Hall,901,Warren,1,,Town Hall,
547,New Haven-22-1-Wexler Grant School,462,New Haven,22,1,Wexler Grant School,
546,New Haven-22-2-Wexler Grant School,463,New Haven,22,2,Wexler Grant School,
545,Columbia-1-Horace W Porter School,900,Columbia,1,,Horace W Porter School,
544,New Haven-10-Wilbur Cross High School - Federal,464,New Haven,10,,Wilbur Cross High School,Federal
543,Stratford-80-21-Chapel Street School 122 21,637,Stratford,80,21,Chapel Street School 122 21,
542,New Haven-9-2-Wilbur Cross High School - Ward 9,468,New Haven,9,2,Wilbur Cross High School,Ward 9
541,Stratford-90-1-Bunnell High School 120 21,634,Stratford,90,1,Bunnell High School 120 21,
540,Stonington-1-Stonington Fire House,633,Stonington,1,,Stonington Fire House,
539,Stonington-2-Pawcatuck Fire House,632,Stonington,2,,Pawcatuck Fire House,
538,Stonington-3-Deans Mill School,631,Stonington,3,,Deans Mill School,
537,Stonington-5-Board Of Education Administration Building,630,Stonington,5,,Board Of Education Administration Building,
536,North Haven-1-Recreation Center,501,North Haven,1,,Recreation Center,
535,North Haven-2-Montowese Elementary School,500,North Haven,2,,Montowese Elementary School,
534,North Haven-3-11-Ridge Road Elementary School,503,North Haven,3,11,Ridge Road Elementary School,
533,North Haven-3-Ridge Road Elementary School,502,North Haven,3,,Ridge Road Elementary School,
532,Norwalk-140-2-Columbus School,505,Norwalk,140,2,Columbus School,
531,North Stonington-1-New Town Hall,504,North Stonington,1,,New Town Hall,
530,Norwalk-140-1-Kendall School,507,Norwalk,140,1,Kendall School,
529,Norwalk-142-1-Fox Run School,506,Norwalk,142,1,Fox Run School,
528,Norwalk-143-1-Nathan Hale Middle School,509,Norwalk,143,1,Nathan Hale Middle School,
527,Norwalk-137-1-Marvin School,508,Norwalk,137,1,Marvin School,
526,West Haven-6-Forest School,734,West Haven,6,,Forest School,
525,West Haven-5-John Prete Senior Housing,735,West Haven,5,,John Prete Senior Housing,
524,West Haven-7-Ann V. Molloy School,732,West Haven,7,,Ann V. Molloy School,
523,West Haven-1-City Hall,733,West Haven,1,,City Hall,
522,West Hartford-3-West Hartford Town Hall,730,West Hartford,3,,West Hartford Town Hall,
521,Stamford-14-Dolan Middle School,602,Stamford,14,,Dolan Middle School,
520,Stamford-2-Domus - The Old Rogers School,603,Stamford,2,,Domus,The Old Rogers School
519,North Haven-4-Green Acres Elementary School,499,North Haven,4,,Green Acres Elementary School,
518,Stamford-11-Cloonan Middle School -Side,600,Stamford,11,,Cloonan Middle School,Side
517,Bridgewater-1-Bridgewater Senior Center,69,Bridgewater,1,,Bridgewater Senior Center,
516,Bridgeport-126-6-Wilbur Cross School,68,Bridgeport,126,6,Wilbur Cross School,
515,Bridgeport-126-5-Thomas Hooker School,67,Bridgeport,126,5,Thomas Hooker School,
514,Bridgeport-129-4-The Aquaculture Center,65,Bridgeport,129,4,The Aquaculture Center,
513,Bridgeport-127-2-Read Middle School,64,Bridgeport,127,2,Read Middle School,
512,Bridgeport-126-4-Read Middle School,63,Bridgeport,126,4,Read Middle School,
511,Bridgeport-126-3-Park City Magnet School,62,Bridgeport,126,3,Park City Magnet School,
510,Bridgeport-128-2-Luis Munoz Marin School,61,Bridgeport,128,2,Luis Munoz Marin School,
509,Bridgeport-127-3-John Winthrop School,60,Bridgeport,127,3,John Winthrop School,
508,Simsbury-4-Tariffville School,574,Simsbury,4,,Tariffville School,
507,Simsbury-3-Tootin Hill School,575,Simsbury,3,,Tootin Hill School,
506,Somers-1-Town Hall,576,Somers,1,,Town Hall,
505,Southbury-1-Center Fire House District #1,577,Southbury,1,,Center Fire House District #1,
504,Shelton-2-1-Shelton Intermediate School,570,Shelton,2,1,Shelton Intermediate School,
503,Sherman-1-Emerg Services Facility - Firehouse- Upper Level,571,Sherman,1,,Emerg Services Facility,Firehouse
502,Simsbury-1-Henry James Memorial School,572,Simsbury,1,,Henry James Memorial School,
501,Simsbury-2-Latimer Lane School,573,Simsbury,2,,Latimer Lane School,
500,Southbury-3-Southbury Community Building District #3,578,Southbury,3,,Southbury Community Building District #3,
499,Southbury-2-Southbury Public Library District #2,579,Southbury,2,,Southbury Public Library District #2,
498,Portland-1-Portland Middle School,860,Portland,1,,Portland Middle School,
497,Woodbridge-3-Center School 3,783,Woodbridge,3,,Center School 3,
496,Woodbridge-14-Center School 1,782,Woodbridge,14,,Center School 1,
495,Wolcott-2-Wolcott High School,781,Wolcott,2,,Wolcott High School,
494,Wolcott-3-Wakelee,780,Wolcott,3,,Wakelee,
493,Canton-1-Canton High School,787,Canton,1,,Canton High School,
492,Woodstock-1-Woodstock Town Hall,786,Woodstock,1,,Woodstock Town Hall,
491,New Britain-5-2-Graham Apartments,388,New Britain,5,2,Graham Apartments,
490,New Britain-7-Generale Ameglio Society,387,New Britain,7,,Generale Ameglio Society,
489,New Britain-4-Gaffney School,386,New Britain,4,,Gaffney School,
488,New Britain-14-Diloreto School,385,New Britain,14,,Diloreto School,
487,New Britain-9-Chamberlain School,384,New Britain,9,,Chamberlain School,
486,Naugatuck-3-3-Western School - B,383,Naugatuck,3,3,Western School,B
485,Naugatuck-3-1-Oak Terrace,382,Naugatuck,3,1,Oak Terrace,
484,Naugatuck-2-3-Maple Hill School,381,Naugatuck,2,3,Maple Hill School,
483,Naugatuck-2-2-Cross Street School - B,380,Naugatuck,2,2,Cross Street School,B
482,Milford-118-2-Meadowside School,361,Milford,118,2,Meadowside School,
481,Milford-118-4-Margaret S Egan Center,360,Milford,118,4,Margaret S Egan Center,
480,Milford-118-3-West Shore Recreation Center,363,Milford,118,3,West Shore Recreation Center,
479,Milford-119-1-Orange Avenue School,362,Milford,119,1,Orange Avenue School,
478,Monroe-4-Masuk High School,365,Monroe,4,,Masuk High School,
477,Monroe-1-Fawn Hollow School,364,Monroe,1,,Fawn Hollow School,
476,Monroe-2-Stepney Elementary School,367,Monroe,2,,Stepney Elementary School,
475,Monroe-3-Monroe Elementary School,366,Monroe,3,,Monroe Elementary School,
474,Montville-4-Fair Oaks School-Gym-4,369,Montville,4,,Fair Oaks School,Gym
473,Montville-3-Fair Oaks School-Gym-3,368,Montville,3,,Fair Oaks School,Gym
472,Ansonia-1-Ward 1 Ansonia Armory,3,Ansonia,1,,Ward 1 Ansonia Armory,
471,Newtown-3-1-central counting,808,Newtown,3,1,central counting,
470,Glastonbury-3-Hebron Avenue School,835,Glastonbury,3,,Hebron Avenue School,
469,Glastonbury-2-Hebron Avenue School,834,Glastonbury,2,,Hebron Avenue School,
468,North Canaan-1-Town Hall - McCarthy Room,497,North Canaan,1,,Town Hall,McCarthy Room
467,Stratford-10-1-Lordship Elementary School 120 21,830,Stratford,10,1,Lordship Elementary School 120 21,
466,New Britain-13-ST. John Paul II Shool,833,New Britain,13,,ST. John Paul II Shool,
465,New Britain-6-Angelico's Restaurant,832,New Britain,6,,Angelico's Restaurant,
464,North Branford-2-Stanley T. Williams School,496,North Branford,2,,Stanley T. Williams School,
463,Manchester-7-Keeney School,314,Manchester,7,,Keeney School,
462,Manchester-2-Manchester High School,315,Manchester,2,,Manchester High School,
461,Manchester-6-Martin School,316,Manchester,6,,Martin School,
460,Manchester-1-Robertson School,317,Manchester,1,,Robertson School,
459,Madison-1-District 1 (South),310,Madison,1,,District 1 (South),
458,Madison-2-District 2 (North),311,Madison,2,,District 2 (North),
457,Manchester-3-Buckley School,312,Manchester,3,,Buckley School,
456,Manchester-5-Highland Park School,313,Manchester,5,,Highland Park School,
455,Manchester-8-Verplanck School,318,Manchester,8,,Verplanck School,
454,Manchester-4-Waddell School,319,Manchester,4,,Waddell School,
453,Coventry-2-Coventry Grammer School,927,Coventry,2,,Coventry Grammer School,
452,Coventry-1-GH Robertson School,926,Coventry,1,,GH Robertson School,
451,New Haven-19-2-Celentano Museum Academy,419,New Haven,19,2,Celentano Museum Academy,
450,New Haven-19-1-Celentano Museum Academy,418,New Haven,19,1,Celentano Museum Academy,
449,North Haven-5-Clintonville Elementary School,498,North Haven,5,,Clintonville Elementary School,
448,New Haven-13-Benjamin Jepson Magnet School,413,New Haven,13,,Benjamin Jepson Magnet School,
447,New Haven-11-1-Bella Vista 11-01,412,New Haven,11,1,Bella Vista 11,
446,New Haven-29-Beecher School,411,New Haven,29,,Beecher School,
445,New Haven-23-Barnard School,410,New Haven,23,,Barnard School,
444,New Haven-3-2-Career High School02,416,New Haven,3,2,Career High School02,
443,New Haven-3-1-Career High School,415,New Haven,3,1,Career High School,
442,New Haven-11-2-Bishop Woods School,414,New Haven,11,2,Bishop Woods School,
441,Windham-4-Bpo Elks 1311,765,Windham,4,,Bpo Elks 1311,
440,Darien-4-District 4 - Hindley School Gymnasium Entrance,129,Darien,4,,District 4,Hindley School Gymnasium Entrance
439,Darien-3-District 3 - Noroton Heights Fire Department,128,Darien,3,,District 3,Noroton Heights Fire Department
438,Darien-2-District 2 - Darien Town Hall,127,Darien,2,,District 2,Darien Town Hall
437,Darien-1-District 1 - 35 Leroy Avenue Municipal Building,126,Darien,1,,District 1,35 Leroy Avenue Municipal Building
436,Danbury-7-38-Westside Middle School Academy,125,Danbury,7,38,Westside Middle School Academy,
435,Danbury-7-10-Westside Middle School Academy,124,Danbury,7,10,Westside Middle School Academy,
434,Danbury-7-2-Westside Middle School Academy,123,Danbury,7,2,Westside Middle School Academy,
433,Danbury-5-10-War Memorial Gym,122,Danbury,5,10,War Memorial Gym,
432,Danbury-5-9-War Memorial Gym,121,Danbury,5,9,War Memorial Gym,
431,Danbury-5-2-War Memorial Gym,120,Danbury,5,2,War Memorial Gym,
430,Avon-1-Avon High School - Gymnasium,10,Avon,1,,Avon High School,Gymnasium
429,Avon-2-Firehouse Company #1,11,Avon,2,,Firehouse Company #1,
428,Redding-2-Redding Community Center 2,549,Redding,2,,Redding Community Center 2,
427,Redding-1-Redding Community Center,548,Redding,1,,Redding Community Center,
426,Ansonia-6-Ward 6 Prendergast School,8,Ansonia,6,,Ward 6 Prendergast School,
425,Prospect-1-Prospect Firehouse,545,Prospect,1,,Prospect Firehouse,
424,Prospect-2-Community School,544,Prospect,2,,Community School,
423,Putnam-2-Town Garage,547,Putnam,2,,Town Garage,
422,Putnam-1-Murphy Park Building,546,Putnam,1,,Murphy Park Building,
421,Pomfret-1-Pomfret Community School,541,Pomfret,1,,Pomfret Community School,
420,Plymouth-2-Lyceum,540,Plymouth,2,,Lyceum,
419,Preston-1-Town Hall,543,Preston,1,,Town Hall,
418,Waterbury-73-3-Kingsbury School,699,Waterbury,73,3,Kingsbury School,
