Town,population,housing,totalarea,waterarea,landarea,population.persqmi,housing.persqmi
Naugatuck,31862,13061,16.4,0.09,16.31,1953.8,800.9
New Britain,73206,31226,13.47,0.07,13.39,5466.0,2331.5
New Canaan,19738,7551,22.52,0.33,22.19,889.3,340.2
New Fairfield,13881,5593,25.15,4.71,20.44,679.0,273.6
New Hartford,6970,2923,38.17,1.14,37.04,188.2,78.9
New Haven,129779,54967,20.12,1.45,18.68,6948.0,2942.8
Newington,30562,13011,13.14,0,13.14,2325.7,990.1
New London,27620,11840,10.61,4.99,5.62,4918.7,2108.5
New Milford,28142,11731,63.73,2.17,61.57,457.1,190.5
Newtown,27560,10061,59.07,1.41,57.66,478.0,174.5
Norfolk,1709,967,46.43,1.11,45.32,37.7,21.3
North Branford,14407,5629,26.67,1.91,24.76,581.9,227.4
North Canaan,3315,1587,19.47,0.01,19.47,170.3,81.5
North Haven,24093,9491,21.12,0.28,20.84,1156.1,455.4
North Stonington,5297,2306,54.97,0.72,54.25,97.6,42.5
Norwalk,85603,35415,36.35,13.49,22.86,3744.7,1549.2
Norwich,40493,18659,29.41,1.35,28.06,1443.0,664.9
Old Lyme,7603,5021,28.82,5.8,23.02,330.3,218.2
Old Saybrook,10242,5602,21.58,6.53,15.04,680.8,372.4
Orange,13956,5345,17.42,0.24,17.18,812.3,311.1
Oxford,12683,4746,33.33,0.59,32.74,387.4,145.0
Plainfield,15405,6229,42.98,0.62,42.36,363.7,147.1
Plainville,17716,8063,9.78,0.07,9.71,1824.4,830.3
Plymouth,12243,5109,22.34,0.44,21.89,559.2,233.4
Pomfret,4247,1684,40.58,0.25,40.33,105.3,41.8
Portland,9508,4077,24.85,1.5,23.35,407.2,174.6
Preston,4726,2019,31.74,0.93,30.82,153.4,65.5
Prospect,9405,3474,14.47,0.24,14.23,661.1,244.2
Putnam,9584,4299,20.41,0.11,20.3,472.0,211.7
Redding,9158,3811,32.06,0.56,31.5,290.7,121.0
Ridgefield,24638,9420,35.02,0.5,34.52,713.8,272.9
Rocky Hill,19709,8843,13.84,0.39,13.45,1464.9,657.3
Roxbury,2262,1167,26.36,0.06,26.3,86.0,44.4
Salem,4151,1635,29.77,0.85,28.92,143.5,56.5
Salisbury,3741,2593,60.08,2.83,57.24,65.4,45.3
Scotland,1726,680,18.68,0.05,18.63,92.6,36.5
Seymour,16540,6968,14.98,0.46,14.52,1139.3,480.0
Sharon,2782,1775,59.56,0.79,58.77,47.3,30.2
Shelton,39559,16146,31.9,1.28,30.63,1291.7,527.2
Sherman,3581,1831,23.4,1.51,21.89,163.6,83.6
Simsbury,23511,9123,34.3,0.37,33.92,693.1,268.9
Somers,11444,3479,28.49,0.12,28.37,403.4,122.6
Southbury,19904,9091,40.07,1.08,38.99,510.5,233.1
Southington,43069,17447,36.64,0.73,35.91,1199.3,485.8
South Windsor,25709,10243,28.67,0.61,28.06,916.1,365.0
Sprague,2984,1248,13.83,0.58,13.25,225.2,94.2
Stafford,12087,5124,58.76,0.72,58.04,208.3,88.3
Stamford,122643,50573,52.04,14.41,37.64,3258.4,1343.6
Sterling,3830,1511,27.29,0.07,27.22,140.7,55.5
Stonington,18545,9467,50.08,11.43,38.66,479.7,244.9
Stratford,51384,21091,19.92,2.44,17.48,2939.4,1206.5
Suffield,15735,5469,42.94,0.68,42.26,372.3,129.4
Thomaston,7887,3276,12.21,0.24,11.97,659.0,273.7
Thompson,9458,4171,48.66,1.76,46.9,201.7,88.9
Tolland,15052,5451,40.26,0.63,39.63,379.8,137.6
Torrington,36383,16761,40.32,0.56,39.75,915.2,421.6
Trumbull,36018,13157,23.56,0.24,23.32,1544.3,564.1
Union,854,388,29.83,1.03,28.8,29.7,13.5
Vernon,29179,13896,18.07,0.37,17.7,1648.6,785.1
Voluntown,2603,1127,39.79,0.83,38.96,66.8,28.9
Wallingford,45135,18945,39.87,0.83,39.04,1156.1,485.3
Warren,1461,811,27.55,1.24,26.31,55.5,30.8
Washington,3578,2124,38.64,0.57,38.07,94.0,55.8
Waterbury,110366,47991,28.94,0.42,28.52,3869.9,1682.8
Waterford,19517,8634,44.54,11.77,32.77,595.6,263.5
Watertown,22514,9096,29.51,0.51,29.01,776.2,313.6
Westbrook,6938,3937,21.56,5.78,15.78,439.6,249.4
West Hartford,63268,26396,22.26,0.42,21.84,2897.3,1208.8
West Haven,55564,22446,10.92,0.17,10.75,5170.3,2088.6
Weston,10179,3674,20.67,0.88,19.8,514.1,185.6
Westport,26391,10399,33.45,13.5,19.96,1322.3,521.1
Wethersfield,26668,11677,13.11,0.8,12.31,2166.3,948.6
Willington,6041,2637,33.52,0.22,33.29,181.4,79.2
Wilton,18062,6475,27.3,0.49,26.8,673.8,241.6
Winchester,11242,5613,33.82,1.31,32.51,345.8,172.6
Windham,25268,9570,27.9,0.92,26.97,936.8,354.8
Windsor,29044,11767,30.96,1.46,29.5,984.4,398.8
Windsor Locks,12498,5429,9.37,0.34,9.02,1385.0,601.6
Wolcott,16680,6276,21.1,0.67,20.43,816.3,307.1
Woodbridge,8990,3478,19.19,0.38,18.81,477.9,184.9
Woodbury,9975,4564,36.64,0.24,36.4,274.0,125.4
Woodstock,7964,3582,61.83,1.19,60.65,131.3,59.1
